policy_label,sku_count,total_demand,total_sales,total_lost,fill_rate,cycle_service_level,sum_sku_avg_inventory,stockout_cost,holding_cost,ordering_cost,total_cost
recorded_policy_all_skus,150,170725.0,166440.0,4285.0,0.9749011568311612,0.8408071748878924,51885.27173913043,3705679.17,2019389.0047123288,15950.0,5741018.174712329
proposed_in_scope_recorded_out_of_scope,150,170725.0,168505.0,2220.0,0.9869966320105432,0.8473154362416108,36612.10869565216,1607943.46,1299876.8651849316,24550.0,2932370.3251849315
