class,sku_count,demand_value,total_demand,total_sales,lost_sales,days,avg_inventory,fill_rate,lost_sales_per_day,DOI,abc,a_demand_value_share,intervention
AX,29,294259783.46999997,344399,325329,19070,516,8814.213178294574,0.9446281783628873,36.957364341085274,13.206002340308771,A,0.46682608572305545,protect_strategic_value
AY,38,324850080.53,368858,345549,23309,516,12249.220930232557,0.9368076604004794,45.17248062015504,17.13558605208508,A,0.5153558184280386,protect_strategic_value
CX,4,6450746.220000001,49578,44970,4608,516,1188.156976744186,0.9070555488321433,8.930232558139535,12.366150308604624,C,,correct_understock
AZ,2,11231482.53,8430,8430,0,516,826.0562015503876,1.0,0.0,50.56287069988137,A,0.017818095848905983,reduce_overstock
BZ,15,44309738.22,63170,62882,288,516,5313.984496124031,0.9954408738325154,0.5581395348837209,43.406933671046374,B,,reduce_overstock
CZ,21,18732046.990000002,77402,77285,117,516,7893.015503875969,0.9984884111521666,0.22674418604651161,52.618743701713136,C,,reduce_overstock
